Surname;Given names;Nation;Flights;time_in_space;sex_or_genderLabel;birth;death;age
Cameron;Kenneth Donald;USA;3;33730;male;29.11.1949;;
Runco;"Mario, Jr. ""Trooper""";USA;3;33067;male;26.1.1952;;
Scott;David Randolph;USA;3;32813;male;6.6.1932;;
Schlegel;Hans Wilhelm;Germany;2;32761;male;3.8.1951;;
Shaw;Brewster Hopkinson, Jr.;USA;3;32031;male;16.5.1945;;
Sullivan;Kathryn Dwyer;USA;3;31969;female;3.10.1951;;
Leestma;David Cornell;USA;3;31952;male;6.5.1949;;
MacLean;Steven Glenwood;Canada;2;31202;male;14.12.1954;;
Nikolayev;Andriyan Grigoriyevich;USSR;2;31160;male;5.9.1929;3.7.2004;75
Mattingly;"Thomas Kenneth II ""Ken""";USA;3;30514;male;17.3.1936;;
Stafford;"Thomas Patten ""Tom""";USA;4;30462;male;17.9.1930;;
Bykovsky;Valeri Fyodorovich;USSR;3;29868;male;2.8.1934;27.3.2019;85
Makarov;Oleg Grigoriyevich;USSR;3;29840;male;6.1.1933;28.5.2003;70
Hilmers;David Carl;USA;4;29656;male;28.1.1950;;
Buchli;James Frederick;USA;4;29424;male;20.6.1945;;
Gutierrez;"Sidney McNeill ""Sid""";USA;2;29283;male;27.6.1951;;
Hartsfield;"Henry Warren, Jr. ""Hank""";USA;3;28970;male;21.11.1933;17.7.2014;81
Lounge;John Michael;USA;3;28943;male;28.6.1946;1.3.2011;65
Noriega;Carlos Ismael;USA;2;28877;male;8.10.1959;;
Walker;Charles David;USA;3;28676;male;29.8.1948;;
Borman;Frank Frederick II;USA;2;28655;male;14.3.1928;;
Baturin;Yuri Mikhailovich;Russia;2;28423;male;1.1.1949;;
Savitskaya;Svetlana Yevgeniyevna;USSR;2;28386;female;8.8.1948;;
Ewald;Reinhold;Germany;1;28354;male;18.12.1956;;
Crouch;Roger Keith;USA;2;28316;male;12.9.1940;;
Linteris;Gregory Thomas;USA;2;28316;male;4.10.1957;;
Kilrain;Susan Leigh;USA;2;28316;female;24.10.1961;;
Nie;Haisheng;China;2;27961;male;13.10.1964;;
Coats;Michael Lloyd;USA;3;27836;male;16.1.1946;;
Parker;Robert Alan Ridley;USA;2;27772;male;14.12.1936;;
Hammond;Lloyd Blaine, Jr.;USA;2;27731;male;16.1.1952;;
Lichtenberg;Byron Kurt;USA;2;27716;male;19.2.1948;;
Mohri;Mamoru;Japan;2;27609;male;29.1.1948;;
Gregory;Frederick Drew;USA;3;27304;male;7.1.1941;;
Duque;Pedro Francisco;Spain;2;27046;male;14.3.1963;;
Weber;Mary Ellen;USA;2;27029;female;24.8.1962;;
Kubasov;Valeri Nikolayevich;USSR;3;26997;male;7.1.1935;19.2.2014;79
Tognini;Michel Ange-Charles;France;2;26985;male;30.9.1949;;
Popovich;Pavel Romanovich;USSR;2;26907;male;5.10.1930;29.9.2009;79
Harris;Bernard Anthony, Jr.;USA;2;26288;male;26.6.1956;;
Veach;Charles Lacy;USA;2;26178;male;18.9.1944;3.10.1995;51
Hauck;"Frederick Hamilton ""Rick""";USA;3;26108;male;11.4.1941;;
Glazkov;Yuri Nikolayevich;USSR;1;25525;male;2.10.1939;9.12.2008;69
Sega;Ronald Michael;USA;2;25225;male;4.12.1952;;
Nelson;"George Driver ""Pinky""";USA;3;24643;male;13.7.1950;;
Brady;Charles Eldon, Jr.;USA;1;24347;male;12.8.1951;23.7.2006;55
Favier;Jean-Jacques Henri;France;1;24347;male;13.4.1949;;
Creighton;John Oliver;USA;3;24264;male;28.4.1943;;
Gregory;"William George ""Borneo""";USA;1;23948;male;14.5.1957;;
Shriver;Loren James;USA;3;23164;male;23.9.1944;;
Bobko;"Karol Joseph ""Bo""";USA;3;23163;male;23.12.1937;;
O'Connor;"Bryan Daniel ""O.C.""";USA;2;22998;male;6.9.1946;;
Fullerton;Charles Gordon;USA;2;22970;male;11.10.1936;21.8.2013;77
Brown;David McDowell;USA;1;22940;male;16.4.1956;1.2.2003;47
Clark;Laurel Blair Salton;USA;1;22940;female;10.3.1961;1.2.2003;42
McCool;"William Cameron ""Willie""";USA;1;22940;male;23.9.1961;1.2.2003;42
Ramon;Ilan;Israel;1;22940;male;20.6.1954;1.2.2003;49
Leslie;Fred Weldon;USA;1;22912;male;19.12.1951;;
Sacco;"Albert, Jr. ""Al""";USA;1;22912;male;3.5.1949;;
Buckey;Jay Clark, Jr.;USA;1;22910;male;6.6.1956;;
Pawelczyk;"James Anthony ""Jim""";USA;1;22910;male;20.9.1960;;
Cheli;Maurizio;Italy;1;22660;male;4.5.1959;;
Artyukhin;Yuri Petrovich;USSR;1;22650;male;22.6.1930;4.8.1998;68
